"Stotelės Nr.","Pavadinimas","Lng","Lat"
"1663","Ungurių st.","25.20851","54.65354"
"1701","Teodoro Narbuto st.","25.22988","54.69992"
"1702","Laisvės prospektas","25.22123","54.69752"
"1703","Laisvės prospektas","25.21992","54.69635"
"1704","Karoliniškių poliklinika","25.21416","54.69283"
"1705","Karoliniškių poliklinika","25.21524","54.69344"
"1706","Karoliniškės","25.21733","54.69279"
"1707","Karoliniškės","25.21631","54.69244"
"1708","Televizijos bokštas","25.21486","54.69092"
"1709","Televizijos bokštas","25.2126","54.68996"
"1710","Ugniagesių st.","25.21068","54.69021"
"1711","Ugniagesių st.","25.20904","54.68951"
"1712","Atminties st.","25.20713","54.68715"
"1713","Atminties st.","25.2065","54.68674"
"1714","Vaivorykštės st.","25.20766","54.68519"
"1715","Vaivorykštės st.","25.20695","54.6843"
"1716","Pasakų parkas","25.20607","54.68461"
"1716a","Pasakų parkas","25.20606","54.68416"
"1717","Pasakų parkas","25.20559","54.68477"
"1718","Teodoro Narbuto st.","25.23016","54.69995"
"1801","Justiniškės","25.22203","54.71676"
"1802","Rygos st.","25.23019","54.7156"
"1803","Pal. Jurgio Matulaičio bažnyčia","25.22678","54.71178"
"1804","Lūžiai","25.21772","54.71164"
"1805","Šaulių sąjunga","25.22607","54.70909"
"1807","Viršuliškės","25.22674","54.70849"
"1808","Viršuliškės","25.22623","54.70683"
"1809","Spaudos rūmai","25.22547","54.70417"
"1810","Spaudos rūmai","25.22353","54.70361"
"1811","Spaudos rūmai","25.22377","54.70263"
"1812","Teodoro Narbuto st.","25.23021","54.70022"
"1813","Troleibusų parkas","25.2194","54.70363"
"1814","Kryžkelė","25.20987","54.70389"
"1815","Kaukaro st.","25.21577","54.70665"
"1816","Ąžuolyno st.","25.23405","54.7051"
"1817","Ąžuolyno st.","25.23527","54.70479"
"1818","Pal. Jurgio Matulaičio bažnyčia","25.22824","54.7124"
"1819","Viršuliškės","25.22676","54.70649"
"1820","Teodoro Narbuto st.","25.22967","54.70018"
"1840","pagal pareikalavimą","25.21538","54.70237"
"1901","Saltoniškės","25.26185","54.70231"
"1902","Šeškinė","25.25213","54.70976"
"1903","Šeškinė","25.25157","54.70963"
"1904","Šeškinė","25.25124","54.71069"
"1905","Siesikų st.","25.24636","54.70985"
"1906","Siesikų st.","25.24424","54.7098"
"1907","Vaikų kaimas","25.24118","54.70877"
"1908","Vaikų kaimas","25.24035","54.70949"
"1909","Buivydiškių st.","25.23789","54.71322"
"1910","Buivydiškių st.","25.23743","54.71394"
"1911","Rygos st.","25.23211","54.71575"
"1911n","Rygos st.","25.23148","54.71573"
"1912","Rygos st.","25.23153","54.71687"
"1913","Čiobiškio st.","25.23292","54.71946"
"1914","Ukmergės st.","25.2488","54.71201"
"1914neg","Ukmergės st.","25.24826","54.71186"
"1915","Ukmergės st.","25.24942","54.71194"
"1916","Ukmergės st.","25.24974","54.71245"
"1917","Dūkštų st.","25.24528","54.71486"
"1918","Dūkštų st.","25.24638","54.715"
"1919","Musninkų st.","25.24452","54.71662"
"1920","Musninkų st.","25.24386","54.71665"
"1921","Šeškinės poliklinika","25.24745","54.71606"
"1922","Ukmergės st. ","25.25166","54.71328"
"1923","Šeškinės kalvos","25.25819","54.71109"
"1924","Gelvonėlio st.","25.25677","54.71443"
"1925","Gelvonėlio st.","25.25741","54.71505"
"1926","Paberžės st.","25.25481","54.71616"
"1927","Gelvonų st.","25.25763","54.71764"
"1928","Gelvonų st.","25.25767","54.71838"
"1929","Paberžės st.","25.25358","54.71617"
"1930","Šeškinės kalvos","25.257","54.71157"
"1931","Šeškinės kalvos","25.25622","54.71085"
"1932","Šeškinės poliklinika","25.24715","54.71545"
"1933","Musninkų st.","25.24484","54.7169"
"2001","Mykolo Romerio universitetas","25.25976","54.73531"
"2002","Ateities st.","25.26672","54.73707"
"2003","Kalvarijos","25.27686","54.73854"
"2004","Seminarija","25.27791","54.73702"
"2005","Seminarija","25.27801","54.73576"
"2006","Pušynas","25.27891","54.73436"
"2007","Pušynas","25.2788","54.73328"
"2008","Didlaukio st.","25.26926","54.72903"
"2009","Didlaukio st.","25.27162","54.72915"
"2010","Baltupiai","25.27858","54.72758"
"2011","Baltupiai","25.28001","54.72688"
"2012","Naujakiemio st.","25.28144","54.72387"
"2013","Naujakiemio st.","25.28114","54.72467"
"2014","Jono Kazlausko st.","25.28502","54.72145"
"2015","Pramogų arena","25.28573","54.71508"
"2016","Licėjus","25.27692","54.71314"
"2017","Ateities st.","25.26599","54.736"
"2018","Baltupiai","25.28013","54.72828"
"2019","Ateities st.","25.26656","54.7363"
"2101","Ateities st.","25.26515","54.73682"
"2102","Ateities st.","25.26584","54.7375"
"2103","Mokyklos st.","25.26338","54.74535"
"2104","Mokyklos st.","25.26375","54.74629"
"2105","Bajorų sodai","25.25659","54.75765"
"2105a","Bajorai","25.23163","54.75352"
"2106","Chemijos institutas","25.26182","54.75508"
"2106a","Chemijos institutas","25.26319","54.75431"
"2107","Akademijos st.","25.27066","54.75262"
"2109","Jono Kairiūkščio st.","25.27026","54.75705"
"2110","Jono Kairiūkščio st.","25.26991","54.75718"
"2111","Visoriai","25.26474","54.75781"
"2112","Kalvarijos","25.27535","54.73933"
"2113","Kalvarijos","25.27677","54.73997"
"2114","Jeruzalė","25.27691","54.74295"
"2115","Jeruzalė","25.27788","54.74415"
"2116","Žaliųjų Ežerų st.","25.27913","54.74855"
"2117","Molėtų plentas","25.2781","54.74975"
"2118","Molėtų plentas","25.27754","54.75031"
"2119","Žaliųjų Ežerų st.","25.28111","54.74967"
"2120","Žaliųjų Ežerų st.","25.27982","54.75062"
"2121","Santariškės","25.27979","54.752"
"2122","Santariškės","25.28031","54.75286"
"2123","Vaikų ligoninė","25.28131","54.75633"
"2125","Petro Baublio st.","25.28655","54.7515"
"2127","Petro Baublio st.","25.28788","54.75183"
"2128","Verkių rūmai","25.29599","54.75224"
